Time, pos_a, pos_ref, vel_a, vel_ref, accel_a, accel_ref
292,0.187500,1.921705,0.419998,1.040523,0.508789,0.744630
293,0.187500,1.927184,0.419998,1.043811,0.502930,0.748575
294,0.187500,1.932653,0.419998,1.047092,0.569336,0.752512
295,0.187500,1.938111,0.419998,1.050367,0.579102,0.756442
296,0.187500,1.943558,0.419998,1.053635,0.535156,0.760364
297,0.187500,1.948993,0.419998,1.056896,0.581055,0.764277
298,0.187500,1.954418,0.419998,1.060151,0.564453,0.768183
299,0.187500,1.959831,0.419998,1.063399,0.599609,0.772081
300,0.187500,1.965234,0.419998,1.066640,0.571289,0.775971
301,0.187500,1.970625,0.419998,1.069875,0.553711,0.779852
302,0.187500,1.976005,0.419998,1.073103,0.646484,0.783726
303,0.187500,1.981374,0.419998,1.076324,0.550781,0.787592
304,0.187500,1.986732,0.419998,1.079539,0.615234,0.791449
305,0.187500,1.992078,0.419998,1.082747,0.510742,0.795298
306,0.238281,1.997413,0.480000,1.055479,0.578125,0.690576
307,0.238281,2.002737,0.480000,1.058674,0.670898,0.694409
308,0.238281,2.008049,0.480000,1.061861,0.598633,0.698234
309,0.238281,2.013350,0.480000,1.065042,0.570312,0.702050
310,0.238281,2.018640,0.480000,1.068215,0.643555,0.705859
311,0.238281,2.023918,0.480000,1.071382,0.552734,0.709659
312,0.238281,2.029185,0.480000,1.074543,0.582031,0.713452
313,0.238281,2.034440,0.480000,1.077695,0.595703,0.717235
314,0.238281,2.039684,0.480000,1.080842,0.536133,0.721011
315,0.238281,2.044916,0.480000,1.083981,0.554688,0.724778
316,0.238281,2.050137,0.480000,1.087113,0.515625,0.728537
317,0.238281,2.055346,0.480000,1.090239,0.558594,0.732287
318,0.238281,2.060543,0.480000,1.093357,0.444336,0.736029
319,0.238281,2.065729,0.480000,1.096468,0.584961,0.739763
320,0.238281,2.070902,0.480000,1.099573,0.573242,0.743488
321,0.238281,2.076065,0.480000,1.102670,0.526367,0.747205
322,0.238281,2.081215,0.480000,1.105760,0.537109,0.750913
323,0.238281,2.086354,0.480000,1.108843,0.570312,0.754613
324,0.238281,2.091480,0.480000,1.111919,0.490234,0.758304
325,0.238281,2.096595,0.480000,1.114988,0.499023,0.761987
326,0.238281,2.101698,0.480000,1.118050,0.490234,0.765661
327,0.238281,2.106789,0.480000,1.121105,0.504883,0.769327
328,0.238281,2.111869,0.480000,1.124152,0.465820,0.772983
329,0.238281,2.116936,0.480000,1.127193,0.520508,0.776632
330,0.238281,2.121991,0.480000,1.130226,0.532227,0.780272
331,0.289062,2.127034,0.539999,1.102783,0.581055,0.675341
332,0.289062,2.132065,0.539999,1.105802,0.452148,0.678963
333,0.289062,2.137084,0.539999,1.108813,0.514648,0.682577
334,0.289062,2.142091,0.539999,1.111817,0.532227,0.686182
335,0.289062,2.147086,0.539999,1.114814,0.516602,0.689778
336,0.289062,2.152068,0.539999,1.117803,0.570312,0.693365
337,0.289062,2.157039,0.539999,1.120786,0.510742,0.696944
338,0.289062,2.161997,0.539999,1.123761,0.455078,0.700514
339,0.289062,2.166943,0.539999,1.126728,0.459961,0.704075
340,0.289062,2.171876,0.539999,1.129688,0.494141,0.707627
341,0.289062,2.176798,0.539999,1.132641,0.563477,0.711170
342,0.289062,2.181706,0.539999,1.135586,0.525391,0.714705
343,0.289062,2.186603,0.539999,1.138524,0.495117,0.718230
344,0.289062,2.191487,0.539999,1.141455,0.444336,0.721747
345,0.289062,2.196359,0.539999,1.144378,0.519531,0.725255
346,0.289062,2.201218,0.539999,1.147294,0.576172,0.728754
347,0.289062,2.206065,0.539999,1.150202,0.502930,0.732243
348,0.289062,2.210899,0.539999,1.153102,0.556641,0.735724
